shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"13499","987158",4713.18,0.000000,0.000000,,,,,,Grasland,MOERSTRAAT,"15","4759",93880.3700770000,212263.2786000000
"13500","976912",100.13,79.890000,546.448000,6.840,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","8022",94063.7337570000,208691.2244500000
"13501","3399971",20.99,55.010000,171.631000,3.120,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","8033",94824.8532200000,208152.6896800000
"13502","1829536",6716.41,0.000000,0.000000,,,,,,Grasland,HOGE BOSSTRAAT,"3","6637",95859.9755840000,207226.4784200000
"13503","5136340",967.23,0.000000,0.000000,,NIJVERHEIDSKAAI,NIJVERHEIDSKAAI,,Nieuwendorpe,,NIJVERHEIDSKAAI,"18","7429",92620.1014290000,208472.5585500000
"13504","975487",6956.07,0.000000,0.000000,,,,,,Grasland,SINT-JANS VELD,"12","5901",92001.3033910000,210707.5760000000
"13505","5136416",1169.62,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,SINT-JANS VELD,"12","6718",93837.9745910000,210210.2513600000
"13506","5136395",118.56,51.280000,314.346000,6.130,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93629.5016970000,208198.7906700000
"13507","5136517",5.98,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8008",94107.3397810000,207702.7973100000
"13508","976913",157.35,0.000000,0.000000,,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","8022",94059.4057120000,208700.3432200000
